dt_year,nm_event_status,num_events
1995,Killed,60
2022,Killed,67
2007,Killed,113
2016,Killed,81
2008,Killed,69
2019,Killed,52
2004,Killed,86
1994,Killed,84
1998,Killed,36
2021,Killed,45
1997,Killed,35
1993,Killed,72
2011,Killed,86
2003,Killed,60
2023,Killed,14
1996,Killed,34
2000,Killed,45
2017,Killed,74
2015,Killed,100
2013,Killed,102
2018,Killed,88
2001,Killed,55
2020,Killed,50
2005,Killed,64
2002,Killed,35
2014,Killed,93
2010,Killed,80
1992,Killed,56
1999,Killed,53
2006,Killed,100
2012,Killed,106
2009,Killed,102
