cd_country_iso3,county_lat,country_lon,nm_event_status,num_events
IRN,32,53,Muertos,6
KGZ,41,75,Muertos,2
SYR,35,38,Muertos,155
TUN,34,9,Muertos,1
GAB,-1,11.75,Muertos,1
SAU,25,45,Muertos,2
EGY,27,30,Muertos,13
MEX,23,-102,Desaparecidos,15
BIH,44,18,Muertos,25
NGA,10,8,Muertos,24
CHL,-30,-71,Muertos,1
RUS,60,100,Desaparecidos,7
SRB,44,21,Desaparecidos,1
MLI,17,-4,Muertos,2
COD,0,25,Muertos,16
ARG,-34,-64,Muertos,4
TJK,39,71,Muertos,29
LVA,57,25,Muertos,1
BOL,-17,-65,Muertos,3
HTI,19,-72.4167,Desaparecidos,1
BFA,13,-2,Muertos,3
COL,4,-72,Muertos,96
BDI,-3.5,30,Desaparecidos,1
VEN,8,-66,Muertos,10
FRA,46,2,Muertos,10
UKR,49,32,Muertos,37
ZWE,-20,30,Muertos,1
MOZ,-18.25,35,Muertos,2
IDN,-5,120,Muertos,13
BRA,-10,-55,Muertos,60
PNG,-6,147,Muertos,1
CAF,7,21,Muertos,5
RWA,-2,30,Muertos,24
TZA,-6,35,Muertos,2
UKR,49,32,Desaparecidos,1
NIC,13,-85,Muertos,3
NLD,52.5,5.75,Muertos,1
KEN,1,38,Muertos,6
CMR,6,12,Muertos,4
BGD,24,90,Muertos,35
ECU,-2,-77.5,Muertos,4
SSD,8,30,Muertos,10
ETH,8,38,Muertos,5
SVK,48.6667,19.5,Muertos,1
MOZ,-18.25,35,Desaparecidos,1
JPN,36,138,Muertos,1
RUS,60,100,Muertos,83
BRB,13.1667,-59.5333,Muertos,1
PHL,13,122,Muertos,157
PAK,30,70,Muertos,97
URY,-33,-56,Muertos,1
IND,20,77,Muertos,90
MMR,22,98,Muertos,10
SLE,8.5,-11.5,Muertos,18
SRB,44,21,Muertos,12
SLV,13.8333,-88.9167,Muertos,6
CHN,35,105,Desaparecidos,1
CIV,8,-5,Desaparecidos,1
ZMB,-15,30,Muertos,1
YEM,15,48,Muertos,35
GMB,13.4667,-16.5667,Muertos,2
HRV,45.1667,15.5,Muertos,4
LSO,-29.5,28.5,Muertos,1
IRL,53,-8,Muertos,1
MDG,-20,47,Muertos,2
LKA,7,81,Muertos,25
GIN,11,-10,Muertos,4
GTM,15.5,-90.25,Muertos,27
UGA,1,32,Muertos,5
LBY,25,17,Desaparecidos,4
DZA,28,3,Desaparecidos,3
LBY,25,17,Muertos,15
BLR,53,28,Muertos,6
AZE,40.5,47.5,Muertos,8
THA,15,100,Muertos,16
EGY,27,30,Desaparecidos,1
TZA,-6,35,Desaparecidos,1
MNE,42,19,Muertos,1
PYF,-15,-140,Desaparecidos,1
TUR,39,35,Muertos,31
IRQ,33,44,Muertos,279
ZAF,-29,24,Muertos,5
GHA,8,-2,Muertos,2
MLT,35.8333,14.5833,Muertos,1
IRQ,33,44,Desaparecidos,9
HND,15,-86.5,Muertos,37
GEO,42,43.5,Muertos,10
TKM,40,60,Muertos,1
CYP,35,33,Muertos,1
YEM,15,48,Desaparecidos,1
DZA,28,3,Muertos,60
KAZ,48,68,Muertos,4
ARM,40,45,Muertos,1
BDI,-3.5,30,Muertos,4
LBN,33.8333,35.8333,Muertos,11
SYR,35,38,Desaparecidos,8
AGO,-12.5,18.5,Muertos,11
GRC,39,22,Muertos,2
MDV,3.25,73,Muertos,2
LKA,7,81,Desaparecidos,1
NPL,28,84,Muertos,17
PER,-10,-76,Muertos,17
USA,38,-97,Muertos,17
POL,52,20,Muertos,2
MEX,23,-102,Muertos,151
TCD,15,19,Muertos,6
LBN,33.8333,35.8333,Desaparecidos,1
VNM,16,106,Muertos,1
LTU,56,24,Muertos,1
RWA,-2,30,Desaparecidos,2
KWT,29.3375,47.6581,Muertos,1
BHR,26,50.55,Muertos,3
AFG,33,65,Muertos,79
DNK,56,10,Muertos,1
HTI,19,-72.4167,Muertos,19
SDN,15,30,Muertos,2
DOM,19,-70.6667,Muertos,6
IDN,-5,120,Desaparecidos,1
ALB,41,20,Muertos,1
COD,0,25,Desaparecidos,2
KHM,13,105,Muertos,12
TLS,-8.55,125.5167,Muertos,2
CIV,8,-5,Muertos,6
CRI,10,-84,Muertos,1
ESP,40,-4,Muertos,1
CAN,60,-95,Muertos,2
ISR,31.5,34.75,Muertos,25
ERI,15,39,Muertos,2
PRY,-23,-58,Muertos,10
SOM,10,49,Muertos,85
GBR,54,-2,Muertos,4
CHN,35,105,Muertos,5
COG,-1,15,Muertos,3
BGR,43,25,Muertos,3
PAN,9,-80,Muertos,1
LBR,6.5,-9.5,Muertos,1
UZB,41,64,Muertos,1
