nm_country,Desaparecidos,Muertos
Guatemala,,27
Kuwait,,1
Ukraine,1,37
Timor-Leste,,2
Bulgaria,,3
France,,10
Nigeria,,24
Vietnam,,1
"Tanzania, United Republic of",1,2
Poland,,2
Turkey,,31
Uganda,,5
Honduras,,37
Afghanistan,,79
Ireland,,1
Algeria,3,60
Costa Rica,,1
South Africa,,5
Egypt,1,13
Kazakhstan,,4
Indonesia,1,13
Azerbaijan,,8
Russia,7,83
Lithuania,,1
Argentina,,4
Cambodia,,12
Chile,,1
Lebanon,1,11
Gambia,,2
Mali,,2
United Kingdom,,4
Montenegro,,1
Spain,,1
Colombia,,96
Bahrain,,3
Albania,,1
Georgia,,10
Libya,4,15
Chad,,6
Ghana,,2
Gabon,,1
Somalia,,85
Bangladesh,,35
"Congo, the Democratic Republic of the",2,16
Burkina Faso,,3
Brazil,,60
Zimbabwe,,1
India,,90
Barbados,,1
Guinea,,4
Paraguay,,10
Papua New Guinea,,1
Rwanda,2,24
Panama,,1
Yemen,1,35
Eritrea,,2
Iraq,9,279
China,1,5
Sierra Leone,,18
Haiti,1,19
Turkmenistan,,1
Tajikistan,,29
Mexico,15,151
United States,,17
Croatia,,4
Lesotho,,1
Philippines,,157
Cyprus,,1
Uzbekistan,,1
Liberia,,1
Ethiopia,,5
Greece,,2
French Polynesia,1,
Uruguay,,1
Mozambique,1,2
Belarus,,6
Tunisia,,1
Kenya,,6
South Sudan,,10
Madagascar,,2
Armenia,,1
Malta,,1
Burundi,1,4
Angola,,11
Cameroon,,4
Canada,,2
Burma,,10
Serbia,1,12
"Iran, Islamic Republic of",,6
Israel,,25
Dominican Republic,,6
Saudi Arabia,,2
Japan,,1
Peru,,17
Zambia,,1
Thailand,,16
El Salvador,,6
Pakistan,,97
Maldives,,2
Latvia,,1
Sri Lanka,1,25
Bosnia and Herzegovina,,25
Ivory Coast,1,6
Venezuela,,10
Slovakia,,1
Denmark,,1
Central African Republic,,5
Kyrgyzstan,,2
Sudan,,2
Bolivia,,3
Syrian Arab Republic,8,155
Congo,,3
Netherlands,,1
Ecuador,,4
Nicaragua,,3
Nepal,,17
